address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"200 BLOCK CAPITAL AVE PITTSBURGH, PA 15226",2,0,1,0,0,1,2018,2,2,Brookline,4,19,42003191700,5,6,4-26,40.4033646556047,-80.0175301575285
"2300 BLOCK EAST HILLS DR PITTSBURGH, PA 15221",2,0,2,0,0,0,2022,2,2,East Hills,9,13,42003130600,2,5,3-19,40.4566162367709,-79.871328586779
"2000 BLOCK PLAINVIEW AVE PITTSBURGH, PA 15226",2,0,0,2,0,0,2018,11,6,Brookline,4,19,42003191700,5,6,4-26,40.4030010372904,-80.0169320907124
"500 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",2,0,0,0,2,0,2020,3,4,,,,,,1,,,
"FAUST ST & UNIVERSAL ST PITTSBURGH, PA 15204",2,0,2,0,0,0,2020,8,0,Sheraden,2,20,42003202200,5,6,1-16,40.4571179941859,-80.0644179530189
"1000 BLOCK GOEHRING ST PITTSBURGH, PA 15212",2,0,0,2,0,0,2016,11,5,Spring Hill-City View,1,24,42003262000,1,1,1-24,40.4601302161527,-79.9949099085783
"800 BLOCK EUREKA ST PITTSBURGH, PA 15210",2,0,2,0,0,0,2015,5,4,Allentown,3,18,42003180300,5,3,4-5,40.4236299703861,-79.9936963645088
"2100 BLOCK WATSON ST PITTSBURGH, PA 15219",2,0,2,0,0,0,2021,7,3,Overbrook,4,32,42003320400,5,3,4-23,40.391153465776,-79.994272916669
"BEDFORD AVE & SOMERS DR PITTSBURGH, PA 15219",2,0,2,0,0,0,2016,2,0,Bedford Dwellings,6,5,42003050100,3,2,2-5,40.4489687153923,-79.9766092941591
"HAMILTON AVE & PUTNAM ST PITTSBURGH, PA 15206",2,0,2,0,0,0,2018,12,0,Larimer,9,12,42003120800,2,5,3-10,40.458829712564,-79.9131312057691
"3200 BLOCK BEECHWOOD BLVD PITTSBURGH, PA 15217",2,0,0,2,0,0,2020,1,5,Squirrel Hill South,5,14,42003141400,3,4,2-15,40.4182762702134,-79.9230280741692
"800 BLOCK BRUSHTON AVE PITTSBURGH, PA 15208",2,0,1,1,0,0,2017,12,5,Homewood South,9,13,42003130400,2,5,3-17,40.4546298092284,-79.8884409987312
"6500 BLOCK MEADOW ST PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,5,5,Larimer,9,12,42003120800,2,5,3-12,40.4619794649971,-79.9112063255701
"2200 BLOCK SOMERS DR PITTSBURGH, PA 15219",2,0,2,0,0,0,2017,9,6,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4494256477235,-79.9755889365866
